,Image,RAM_Tags,YOLO_Tags
80,1204.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 9 car, 1 traffic light"
81,1218.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 6 car, 1 traffic light"
82,1232.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 8 car, 1 traffic light"
83,1246.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 7 car, 1 traffic light"
84,1260.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 9 car, 1 traffic light"
85,1274.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 10 car, 1 traffic light"
86,1288.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 2 traffic light"
87,1302.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 13 car, 1 traffic light"
88,1316.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 12 car, 1 traffic light"
89,1330.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | road | street corner,"2 person, 12 car, 1 traffic light"
90,1344.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | road | street corner,"1 person, 12 car, 1 traffic light"
91,1358.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
92,1372.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 8 car, 1 traffic light"
93,1386.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
94,1400.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 9 car, 1 traffic light"
95,1414.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 10 car, 1 traffic light"
96,1428.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
97,1442.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
98,1456.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
99,1470.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
100,1484.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 6 car, 1 traffic light"
101,1498.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 7 car, 1 traffic light"
102,1512.jpg,car | city street | crack | curb | intersection | park | road | sedan | street corner | white,"5 person, 11 car, 1 traffic light"
